物件CD,物件名,築年数,所在地_都道府県,所在地_市区町村,所在地_番地,建築種別,構造,向き,階建,階,間取り,間取り詳細,専有面積(m^2),間取り図,取引様態,取引先,更新日
100343313667,リヴシティ横浜東ベイサイド,2010年11月,神奈川県,横浜市,神奈川区東神奈川２,マンション,鉄筋コン,南東,10,6,1K,洋6.7,20.02,https://img01.suumo.com/front/gazo/fr/bukken/667/100343313667/100343313667_co.jpg,仲介,(株)タウンハウジング神奈川 大倉山店,2023-09-12
100343314105,リヴシティ横浜東ベイサイド,2010年11月,神奈川県,横浜市,神奈川区東神奈川２,マンション,鉄筋コン,南東,10,6,1K,洋6.7,20.02,https://img01.suumo.com/front/gazo/fr/bukken/105/100343314105/100343314105_co.jpg,仲介,(株)タウンハウジング神奈川 鶴見店,2023-09-13
100343313391,リヴシティ横浜東ベイサイド,2010年11月,神奈川県,横浜市,神奈川区東神奈川２,マンション,鉄筋コン,南東,10,6,1K,-,20.02,https://img01.suumo.com/front/gazo/fr/bukken/391/100343313391/100343313391_co.jpg,仲介,(株)タウンハウジング神奈川 横浜店,2023-09-12
100343842510,マリーナヨコハマベイサイド 203号室,2017年6月,神奈川県,横浜市,神奈川区東神奈川２,マンション,鉄筋コン,南東,5,2,1K,洋6.7,20.18,https://img01.suumo.com/front/gazo/fr/bukken/510/100343842510/100343842510_co.jpg,仲介,(株)未来企画桜木町店,2023-09-12
100343709215,マリーナヨコハマベイサイド 203号室,2017年6月,神奈川県,横浜市,神奈川区東神奈川２,マンション,鉄筋コン,南東,5,2,1K,洋6.7,20.18,https://img01.suumo.com/front/gazo/fr/bukken/215/100343709215/100343709215_co.jpg,仲介,(株)未来企画本店,2023-09-12
100342823375,リヴシティ横浜東ベイサイド,2010年11月,神奈川県,横浜市,神奈川区東神奈川２,マンション,鉄筋コン,南東,10,6,1K,洋6.7 K,20.02,https://img01.suumo.com/front/gazo/fr/bukken/375/100342823375/100342823375_co.jpg,仲介,アパマンショップ関内店(株)Select,2023-09-12
100339853853,クレヴィスタ横浜新子安,2014年11月,神奈川県,横浜市,神奈川区子安通１,マンション,鉄筋コン,南,11,5,1K,洋6.1 K1.5,20.87,https://img01.suumo.com/front/gazo/fr/bukken/853/100339853853/100339853853_co.jpg,仲介,(株)エリア・エステート,2023-09-12
100339856694,京急本線 子安駅 11階建 築9年,2014年11月,神奈川県,横浜市,神奈川区子安通１,マンション,鉄筋コン,南,11,5,1K,洋6.1 K1.5,20.87,https://img01.suumo.com/front/gazo/fr/bukken/694/100339856694/100339856694_co.jpg,仲介,(株)エルeサーチ,2023-09-12
100341719751,クレヴィスタ横浜新子安,2014年11月,神奈川県,横浜市,神奈川区子安通１,マンション,鉄筋コン,南,11,2,1K,洋6.1 K1.5,20.87,https://img01.suumo.com/front/gazo/fr/bukken/751/100341719751/100341719751_co.jpg,仲介,(株)エリア・エステート,2023-09-12
100342503124,クレヴィスタ横浜新子安,2014年11月,神奈川県,横浜市,神奈川区子安通１,マンション,鉄筋コン,南,11,2,1K,洋6.1,20.87,https://img01.suumo.com/front/gazo/fr/bukken/124/100342503124/100342503124_co.jpg,仲介,(株)未来企画本店,2023-09-12
100342548057,クレヴィスタ横浜新子安,2014年11月,神奈川県,横浜市,神奈川区子安通１,マンション,鉄筋コン,南,11,2,1K,洋6.1,20.87,https://img01.suumo.com/front/gazo/fr/bukken/057/100342548057/100342548057_co.jpg,仲介,(株)未来企画桜木町店,2023-09-12
100340883623,グリフィン横浜・ベイグランデ壱番館,2008年3月,神奈川県,横浜市,神奈川区東神奈川２,マンション,鉄骨鉄筋,南東,11,3,1K,K,20.48,https://img01.suumo.com/front/gazo/fr/bukken/623/100340883623/100340883623_co.jpg,仲介,お部屋探し情報館(株)エーアイアール横浜関内店,2023-09-12
100342137982,東急東横線 反町駅 9階建 築20年,2004年3月,神奈川県,横浜市,神奈川区反町４,マンション,鉄筋コン,南東,9,2,1K,洋6.2,22.6,https://img01.suumo.com/front/gazo/fr/bukken/982/100342137982/100342137982_co.jpg,仲介,(株)タウンハウジング神奈川 綱島店,2023-09-12
100342028513,ＮＳＫ.２ｎｄ,2004年3月,神奈川県,横浜市,神奈川区反町４,マンション,鉄筋コン,南東,9,2,1K,洋6.2,22.6,https://img01.suumo.com/front/gazo/fr/bukken/513/100342028513/100342028513_co.jpg,仲介,(株)タウンハウジング神奈川 大倉山店,2023-09-12
100344058269,ＣＲＥＶＩＳＴＡ横浜新子安,2014年11月,神奈川県,横浜市,神奈川区子安通１,マンション,鉄筋コン,南,11,8,1K,洋6,20.87,https://img01.suumo.com/front/gazo/fr/bukken/269/100344058269/100344058269_co.jpg,仲介,(株)タイセイ・ハウジー横浜営業所,2023-09-13
100316093085,ＪＲ京浜東北線 新子安駅 4階建 築15年,2009年2月,神奈川県,横浜市,神奈川区入江１,マンション,鉄筋コン,南西,4,2,ワンルーム,洋10.7,26.3,https://img01.suumo.com/front/gazo/fr/bukken/085/100316093085/100316093085_co.jpg,仲介,(株)横浜ライブ横浜店,2023-09-08
100335872435,ＪＲ京浜東北線 新子安駅 4階建 築15年,2009年2月,神奈川県,横浜市,神奈川区入江１,マンション,鉄筋コン,-,4,2,ワンルーム,-,26.3,https://img01.suumo.com/front/gazo/fr/bukken/435/100335872435/100335872435_co.jpg,仲介,(株)Blue横浜店,2023-09-12
100330020699,セントラル白楽,2009年10月,神奈川県,横浜市,神奈川区六角橋１,マンション,鉄筋コン,北東,6,6,ワンルーム,洋7.8,23.25,https://img01.suumo.com/front/gazo/fr/bukken/699/100330020699/100330020699_co.jpg,仲介,(株)エリア・エステート,2023-09-12
100330021137,東急東横線 白楽駅 6階建 築14年,2009年10月,神奈川県,横浜市,神奈川区六角橋１,マンション,鉄筋コン,北東,6,6,ワンルーム,洋7.8,23.25,https://img01.suumo.com/front/gazo/fr/bukken/137/100330021137/100330021137_co.jpg,仲介,(株)エルeサーチ,2023-09-12
100341720649,京急本線 子安駅 11階建 築9年,2014年11月,神奈川県,横浜市,神奈川区子安通１,マンション,鉄筋コン,南,11,2,1K,洋6.1 K1.5,20.87,https://img01.suumo.com/front/gazo/fr/bukken/649/100341720649/100341720649_co.jpg,仲介,(株)エルeサーチ,2023-09-12
100339757342,Le’a横濱ベイステージ,2016年2月,神奈川県,横浜市,神奈川区浦島町,マンション,鉄筋コン,南東,10,6,1K,洋6,20.66,https://img01.suumo.com/front/gazo/fr/bukken/342/100339757342/100339757342_co.jpg,代理,(株)グリップ横浜本店,2023-09-12
100334889538,リヴシティ横濱七島町,2017年7月,神奈川県,横浜市,神奈川区七島町,マンション,鉄筋コン,北東,7,2,1K,洋6.2 K2,21.78,https://img01.suumo.com/front/gazo/fr/bukken/538/100334889538/100334889538_co.jpg,仲介,ソレイユ横浜店(株)ソレイユ,2023-09-12
100343719318,アンプルールフェールWada,2006年11月,神奈川県,横浜市,神奈川区子安通３,マンション,鉄骨,南東,4,3,1K,洋7.9 K2,25.44,https://img01.suumo.com/front/gazo/fr/bukken/318/100343719318/100343719318_co.jpg,仲介,(株)luz REFINO,2023-09-12
100343719127,アンプルールフェールWada,2006年11月,神奈川県,横浜市,神奈川区子安通３,マンション,鉄骨,南東,4,3,1K,洋7.9 K2,25.44,https://img01.suumo.com/front/gazo/fr/bukken/127/100343719127/100343719127_co.jpg,仲介,(株)luz,2023-09-12
100286958022,リヴシティ横濱七島町,2017年7月,神奈川県,横浜市,神奈川区七島町,マンション,鉄筋コン,-,7,7,1K,洋6.4,22.11,https://img01.suumo.com/front/gazo/fr/bukken/022/100286958022/100286958022_co.jpg,仲介,(株)グリップ横浜本店,2023-09-12
100343933724,アンプルールフェールワダ,2006年11月,神奈川県,横浜市,神奈川区子安通３,マンション,鉄骨,南東,4,3,1K,洋7.9,25.44,https://img01.suumo.com/front/gazo/fr/bukken/724/100343933724/100343933724_co.jpg,仲介,(株)ネクストライフ横浜鶴屋町店,2023-09-12
100342860864,ＪＲ京浜東北線 新子安駅 4階建 築17年,2006年11月,神奈川県,横浜市,神奈川区子安通３,マンション,鉄骨,南東,4,3,1K,-,25.44,https://img01.suumo.com/front/gazo/fr/bukken/864/100342860864/100342860864_co.jpg,仲介,横浜賃貸リサーチ(株)Kanooy,2023-09-12
100330226891,東急東横線 反町駅 7階建 築10年,2014年5月,神奈川県,横浜市,神奈川区松本町３,マンション,鉄筋コン,南西,7,2,1K,洋6,20.78,https://img01.suumo.com/front/gazo/fr/bukken/891/100330226891/100330226891_co.jpg,仲介,(株)レジデンシャルゴールド関内店,2023-09-13
100340635857,ＣＲＥＶＩＳＴＡ横浜新子安,2014年11月,神奈川県,横浜市,神奈川区子安通１,マンション,鉄筋コン,南,11,8,1K,洋6 K1.5,20.87,https://img01.suumo.com/front/gazo/fr/bukken/857/100340635857/100340635857_co.jpg,仲介,(株)タウンハウジング神奈川 鶴見店,2023-09-12
100343378337,アヴァンツァーレ横浜子安,2007年2月,神奈川県,横浜市,神奈川区子安通１,マンション,鉄筋コン,南東,10,9,1K,洋7 K1.5,22.28,https://img01.suumo.com/front/gazo/fr/bukken/337/100343378337/100343378337_co.jpg,仲介,(株)エリア・エステート,2023-09-12
100343381637,京急本線 子安駅 10階建 築17年,2007年2月,神奈川県,横浜市,神奈川区子安通１,マンション,鉄筋コン,南東,10,9,1K,洋7 K1.5,22.28,https://img01.suumo.com/front/gazo/fr/bukken/637/100343381637/100343381637_co.jpg,仲介,(株)エルeサーチ,2023-09-12
100334790790,リヴシティ横濱七島町,2017年7月,神奈川県,横浜市,神奈川区七島町,マンション,鉄筋コン,北東,7,2,1K,K,21.78,https://img01.suumo.com/front/gazo/fr/bukken/790/100334790790/100334790790_co.jpg,仲介,アパマンショップ関内店(株)Select,2023-09-12
100342588678,クレヴィスタ横浜新子安,2014年11月,神奈川県,横浜市,神奈川区子安通１,マンション,鉄筋コン,南,11,5,1K,洋6.1,20.87,https://img01.suumo.com/front/gazo/fr/bukken/678/100342588678/100342588678_co.jpg,仲介,(株)タウンハウジング神奈川 菊名店,2023-09-12
100342492709,クレヴィスタ横浜新子安,2014年11月,神奈川県,横浜市,神奈川区子安通１,マンション,鉄筋コン,南,11,5,1K,洋6.1,20.87,https://img01.suumo.com/front/gazo/fr/bukken/709/100342492709/100342492709_co.jpg,仲介,(株)タウンハウジング神奈川 鶴見店,2023-09-12
100340567460,ベルシード横濱大口通,2018年8月,神奈川県,横浜市,神奈川区大口通,マンション,鉄筋コン,-,7,5,1K,洋6.5,23.04,https://img01.suumo.com/front/gazo/fr/bukken/460/100340567460/100340567460_co.jpg,仲介,(株)レジデンシャルゴールド関内店,2023-09-12
100340576797,ベルシード横濱大口通,2018年8月,神奈川県,横浜市,神奈川区大口通,マンション,鉄筋コン,西,7,5,1K,洋6.5,23.04,https://img01.suumo.com/front/gazo/fr/bukken/797/100340576797/100340576797_co.jpg,仲介,(株)未来企画桜木町店,2023-09-12
100340566163,ベルシード横濱大口通,2018年8月,神奈川県,横浜市,神奈川区大口通,マンション,鉄筋コン,西,7,5,1K,洋6.5,23.04,https://img01.suumo.com/front/gazo/fr/bukken/163/100340566163/100340566163_co.jpg,仲介,(株)未来企画本店,2023-09-12
100342378993,オーチャードヒルズＢ棟,2004年2月,神奈川県,横浜市,神奈川区栗田谷,マンション,鉄筋コン,南西,2,2,1K,洋6.5 K2,23.04,https://img01.suumo.com/front/gazo/fr/bukken/993/100342378993/100342378993_co.jpg,代理,リロの不動産(株)東都反町店,2023-09-12
100338779508,リヴシティ横濱七島町 705号室,2017年7月,神奈川県,横浜市,神奈川区七島町,マンション,鉄筋コン,南西,7,7,1K,洋6.4 K2.0,22.11,https://img01.suumo.com/front/gazo/fr/bukken/508/100338779508/100338779508_co.jpg,仲介,(株)タウンハウジング神奈川 鶴見店,2023-09-13
100333063880,リヴシティ横濱七島町,2017年7月,神奈川県,横浜市,神奈川区七島町,マンション,鉄筋コン,南西,7,7,1K,洋6.4 K,22.11,https://img01.suumo.com/front/gazo/fr/bukken/880/100333063880/100333063880_co.jpg,仲介,アパマンショップ関内店(株)Select,2023-09-12
100340638991,京急本線 子安駅 11階建 築9年,2014年11月,神奈川県,横浜市,神奈川区子安通１,マンション,鉄筋コン,南,11,8,1K,洋6 K1.5,20.87,https://img01.suumo.com/front/gazo/fr/bukken/991/100340638991/100340638991_co.jpg,仲介,(株)エルeサーチ,2023-09-12
100340638271,CREVISTA横浜新子安,2014年11月,神奈川県,横浜市,神奈川区子安通１,マンション,鉄筋コン,南,11,8,1K,洋6 K1.5,20.87,https://img01.suumo.com/front/gazo/fr/bukken/271/100340638271/100340638271_co.jpg,仲介,(株)エリア・エステート,2023-09-12
100334826939,京急本線 子安駅 7階建 築7年,2017年7月,神奈川県,横浜市,神奈川区七島町,マンション,鉄筋コン,北東,7,2,1K,洋6.2 K2.0,21.78,https://img01.suumo.com/front/gazo/fr/bukken/939/100334826939/100334826939_co.jpg,仲介,(株)エルeサーチ,2023-09-12
100333038440,京急本線 子安駅 7階建 築7年,2017年7月,神奈川県,横浜市,神奈川区七島町,マンション,鉄筋コン,南西,7,7,1K,洋6.4 K1.5,22.11,https://img01.suumo.com/front/gazo/fr/bukken/440/100333038440/100333038440_co.jpg,仲介,(株)エルeサーチ,2023-09-12
100344105736,リヴシティ横濱七島町 203号室,2017年7月,神奈川県,横浜市,神奈川区七島町,マンション,鉄筋コン,北東,7,2,1K,-,21.7,https://img01.suumo.com/front/gazo/fr/bukken/736/100344105736/100344105736_co.jpg,仲介,(株)アンビション・バロー横浜店,2023-09-13
100343669405,アンプルールフェール Wada,2006年11月,神奈川県,横浜市,神奈川区子安通３,マンション,鉄骨,南東,4,3,1K,-,25.44,https://img01.suumo.com/front/gazo/fr/bukken/405/100343669405/100343669405_co.jpg,仲介,(株)タウンハウジング神奈川 鶴見店,2023-09-12
100330151281,東急東横線 白楽駅 6階建 築14年,2009年10月,神奈川県,横浜市,神奈川区六角橋１,マンション,鉄筋コン,北東,6,6,ワンルーム,洋7.8,23.25,https://img01.suumo.com/front/gazo/fr/bukken/281/100330151281/100330151281_co.jpg,仲介,CLC不動産コミュニティ(株)横浜店,2023-09-12
100333874984,東急東横線 白楽駅 6階建 築14年,2009年10月,神奈川県,横浜市,神奈川区六角橋１,マンション,鉄筋コン,北東,6,6,ワンルーム,洋7.8,23.25,https://img01.suumo.com/front/gazo/fr/bukken/984/100333874984/100333874984_co.jpg,仲介,(株)タウンハウジング神奈川 綱島店,2023-09-12
100340400410,リチェンシア横浜三ッ沢下町,2021年1月,神奈川県,横浜市,神奈川区三ツ沢下町,マンション,鉄筋コン,北,5,4,ワンルーム,洋6.5,18.45,https://img01.suumo.com/front/gazo/fr/bukken/410/100340400410/100340400410_co.jpg,仲介,(株)未来企画本店,2023-09-12
100340422991,リチェンシア横浜三ッ沢下町,2021年1月,神奈川県,横浜市,神奈川区三ツ沢下町,マンション,鉄筋コン,北,5,4,ワンルーム,洋6.5,18.45,https://img01.suumo.com/front/gazo/fr/bukken/991/100340422991/100340422991_co.jpg,仲介,(株)未来企画桜木町店,2023-09-12
